solar_field_id,name,date,delfos_kwh,portal_kwh,diff_kwh,issue_type
SF-001,Vale do Sol I,2026-07-01,16888.9,18555.7,-1666.8,value_mismatch
SF-001,Vale do Sol I,2026-07-02,18519.0,20332.0,-1813.0,value_mismatch
SF-001,Vale do Sol I,2026-07-03,17460.3,19161.2,-1700.9,value_mismatch
SF-001,Vale do Sol I,2026-07-04,17864.1,19611.0,-1746.9,value_mismatch
SF-001,Vale do Sol I,2026-07-05,17735.1,19469.3,-1734.2,value_mismatch
SF-001,Vale do Sol I,2026-07-06,19247.7,21121.8,-1874.1,value_mismatch
SF-001,Vale do Sol I,2026-07-07,17832.3,19569.9,-1737.6,value_mismatch
SF-001,Vale do Sol I,2026-07-08,18764.9,20604.1,-1839.2,value_mismatch
SF-001,Vale do Sol I,2026-07-09,17068.3,18731.5,-1663.2,value_mismatch
SF-001,Vale do Sol I,2026-07-10,18833.5,20681.5,-1848.0,value_mismatch
SF-001,Vale do Sol I,2026-07-11,17990.5,19759.4,-1768.9,value_mismatch
SF-001,Vale do Sol I,2026-07-12,17834.7,19583.1,-1748.4,value_mismatch
SF-001,Vale do Sol I,2026-07-13,17631.6,19349.8,-1718.2,value_mismatch
SF-001,Vale do Sol I,2026-07-14,18561.8,20390.1,-1828.3,value_mismatch
SF-001,Vale do Sol I,2026-07-15,19465.0,21366.8,-1901.8,value_mismatch
SF-001,Vale do Sol I,2026-07-16,18154.6,19940.3,-1785.7,value_mismatch
SF-001,Vale do Sol I,2026-07-17,19231.8,21102.4,-1870.6,value_mismatch
SF-001,Vale do Sol I,2026-07-18,18271.9,20055.0,-1783.1,value_mismatch
SF-001,Vale do Sol I,2026-07-19,18972.8,20814.9,-1842.1,value_mismatch
SF-001,Vale do Sol I,2026-07-20,19325.7,21212.9,-1887.2,value_mismatch
SF-001,Vale do Sol I,2026-07-21,19622.6,21557.4,-1934.8,value_mismatch
SF-001,Vale do Sol I,2026-07-22,17490.4,19191.4,-1701.0,value_mismatch
SF-001,Vale do Sol I,2026-07-23,18673.3,20492.5,-1819.2,value_mismatch
SF-001,Vale do Sol I,2026-07-24,18164.4,19922.3,-1757.9,value_mismatch
SF-001,Vale do Sol I,2026-07-25,20849.4,22888.1,-2038.7,value_mismatch
SF-001,Vale do Sol I,2026-07-26,19210.8,21092.6,-1881.8,value_mismatch
SF-001,Vale do Sol I,2026-07-27,19642.0,21560.3,-1918.3,value_mismatch
SF-001,Vale do Sol I,2026-07-28,19601.9,21521.3,-1919.4,value_mismatch
SF-001,Vale do Sol I,2026-07-29,13174.0,14465.4,-1291.4,value_mismatch
SF-001,Vale do Sol I,2026-07-30,20042.0,21992.9,-1950.9,value_mismatch
SF-001,Vale do Sol I,2026-07-31,17786.3,19517.0,-1730.7,value_mismatch
SF-005,Riacho Fundo,2026-07-08,,4258.5,-4258.5,missing_in_delfos
