solar_field_id,date,energy_kwh,irradiation_kwh_m2
SF-001,2026-07-01,18555.7,5.35
SF-001,2026-07-02,20332.0,5.87
SF-001,2026-07-03,19161.2,5.53
SF-001,2026-07-04,19611.0,5.64
SF-001,2026-07-05,19469.3,5.46
SF-001,2026-07-06,21121.8,6.02
SF-001,2026-07-07,19569.9,5.61
SF-001,2026-07-08,20604.1,5.95
SF-001,2026-07-09,18731.5,5.27
SF-001,2026-07-10,20681.5,5.9
SF-001,2026-07-11,19759.4,5.66
SF-001,2026-07-12,19583.1,5.62
SF-001,2026-07-13,19349.8,5.53
SF-001,2026-07-14,20390.1,5.85
SF-001,2026-07-15,21366.8,6.17
SF-001,2026-07-16,19940.3,5.62
SF-001,2026-07-17,21102.4,6.07
SF-001,2026-07-18,20055.0,5.71
SF-001,2026-07-19,20814.9,5.95
SF-001,2026-07-20,21212.9,6.11
SF-001,2026-07-21,21557.4,6.14
SF-001,2026-07-22,19191.4,5.46
SF-001,2026-07-23,20492.5,5.72
SF-001,2026-07-24,19922.3,5.74
SF-001,2026-07-25,22888.1,6.39
SF-001,2026-07-26,21092.6,6.04
SF-001,2026-07-27,21560.3,6.09
SF-001,2026-07-28,21521.3,6.2
SF-001,2026-07-29,14465.4,4.14
SF-001,2026-07-30,21992.9,6.32
SF-001,2026-07-31,19517.0,5.58
SF-002,2026-07-01,13164.4,5.66
SF-002,2026-07-02,11735.9,5.07
SF-002,2026-07-03,13325.3,5.84
SF-002,2026-07-04,12426.2,5.36
SF-002,2026-07-05,13031.3,5.53
SF-002,2026-07-06,12844.9,5.66
SF-002,2026-07-07,13654.0,5.89
SF-002,2026-07-08,12479.4,5.44
SF-002,2026-07-09,12366.1,5.42
SF-002,2026-07-10,12242.5,5.27
SF-002,2026-07-11,12855.1,5.58
SF-002,2026-07-12,12587.4,5.41
SF-002,2026-07-13,12681.4,5.45
SF-002,2026-07-14,13190.2,5.72
SF-002,2026-07-15,13312.9,5.71
SF-002,2026-07-16,12043.2,5.33
SF-002,2026-07-17,13176.5,5.63
SF-002,2026-07-18,12650.6,5.36
SF-002,2026-07-19,13424.9,5.8
SF-002,2026-07-20,12244.7,5.42
SF-002,2026-07-21,12859.8,5.63
SF-002,2026-07-22,13535.6,5.84
SF-002,2026-07-23,13031.5,5.68
SF-002,2026-07-24,13330.8,5.87
SF-002,2026-07-25,12900.5,5.69
SF-002,2026-07-26,13681.2,5.94
SF-002,2026-07-27,13952.9,6.13
SF-002,2026-07-28,14658.3,6.31
SF-002,2026-07-29,13466.8,5.9
SF-002,2026-07-30,13141.6,5.66
SF-002,2026-07-31,12942.2,5.63
SF-003,2026-07-01,6364.6,5.07
SF-003,2026-07-02,6774.2,5.57
SF-003,2026-07-03,6975.9,5.56
SF-003,2026-07-04,6675.5,5.51
SF-003,2026-07-05,6591.9,5.34
SF-003,2026-07-06,7368.6,6.06
SF-003,2026-07-07,6305.9,5.15
SF-003,2026-07-08,6991.8,5.8
SF-003,2026-07-09,6828.3,5.62
SF-003,2026-07-10,4723.2,5.85
SF-003,2026-07-11,4706.6,5.74
SF-003,2026-07-12,4689.6,5.74
SF-003,2026-07-13,4993.5,6.05
SF-003,2026-07-14,4624.5,5.71
SF-003,2026-07-15,4594.1,5.54
SF-003,2026-07-16,4691.4,5.77
SF-003,2026-07-17,4754.9,5.75
SF-003,2026-07-18,4880.0,6.01
SF-003,2026-07-19,4872.5,6.0
SF-003,2026-07-20,4931.5,6.03
SF-003,2026-07-21,4593.1,5.59
SF-003,2026-07-22,4799.3,5.96
SF-003,2026-07-23,4590.4,5.69
SF-003,2026-07-24,4379.3,5.38
SF-003,2026-07-25,7600.2,6.18
SF-003,2026-07-26,7445.7,6.14
SF-003,2026-07-27,7584.4,6.13
SF-003,2026-07-28,6941.7,5.51
SF-003,2026-07-29,6724.9,5.37
SF-003,2026-07-30,6863.0,5.55
SF-003,2026-07-31,7872.5,6.4
SF-004,2026-07-01,28643.2,5.8
SF-004,2026-07-02,27372.0,5.6
SF-004,2026-07-03,25327.1,5.26
SF-004,2026-07-04,27226.8,5.55
SF-004,2026-07-05,27946.6,5.73
SF-004,2026-07-06,26103.4,5.31
SF-004,2026-07-07,28523.4,5.9
SF-004,2026-07-08,27350.6,5.62
SF-004,2026-07-09,26381.0,5.49
SF-004,2026-07-10,29679.6,6.16
SF-004,2026-07-11,19403.7,3.96
SF-004,2026-07-12,28432.3,5.94
SF-004,2026-07-13,24619.4,5.05
SF-004,2026-07-14,25141.1,5.13
SF-004,2026-07-15,29400.7,5.9
SF-004,2026-07-16,27988.1,5.77
SF-004,2026-07-17,27519.3,5.71
SF-004,2026-07-18,28392.2,5.81
SF-004,2026-07-19,27661.3,5.63
SF-004,2026-07-20,29226.3,6.04
SF-004,2026-07-21,26511.6,5.34
SF-004,2026-07-22,31355.1,6.38
SF-004,2026-07-23,27565.2,5.59
SF-004,2026-07-24,29838.5,6.15
SF-004,2026-07-25,30464.2,6.27
SF-004,2026-07-26,30930.7,6.56
SF-004,2026-07-27,28250.2,5.78
SF-004,2026-07-28,31115.1,6.34
SF-004,2026-07-29,27881.3,5.68
SF-004,2026-07-30,29030.1,5.86
SF-004,2026-07-31,28960.5,5.92
SF-005,2026-07-01,4100.0,5.31
SF-005,2026-07-02,4276.2,5.41
SF-005,2026-07-03,4194.8,5.39
SF-005,2026-07-04,4211.7,5.31
SF-005,2026-07-05,4161.8,5.3
SF-005,2026-07-06,4129.9,5.35
SF-005,2026-07-07,4451.5,5.76
SF-005,2026-07-08,4258.5,5.41
SF-005,2026-07-09,4053.6,5.28
SF-005,2026-07-10,4500.1,5.76
SF-005,2026-07-11,4400.9,5.62
SF-005,2026-07-12,4715.0,6.18
SF-005,2026-07-13,4851.0,6.23
SF-005,2026-07-14,4372.0,5.64
SF-005,2026-07-15,3227.4,4.15
SF-005,2026-07-16,4358.6,5.71
SF-005,2026-07-17,4713.1,6.07
SF-005,2026-07-18,4322.3,5.48
SF-005,2026-07-19,4194.1,5.35
SF-005,2026-07-20,3159.3,4.06
SF-005,2026-07-21,4751.2,6.14
SF-005,2026-07-22,4400.5,5.52
SF-005,2026-07-23,4541.8,5.74
SF-005,2026-07-24,4281.2,5.53
SF-005,2026-07-25,4645.3,5.99
SF-005,2026-07-26,4657.5,5.93
SF-005,2026-07-27,4595.8,5.87
SF-005,2026-07-28,4966.3,6.18
SF-005,2026-07-29,4426.0,5.68
SF-005,2026-07-30,4263.6,5.37
SF-005,2026-07-31,4545.0,5.86
