solar_field_id,device_id,device_name,date,energy_kwh
SF-001,SF-001-INV-01,Inverter 01,2026-07-01,2465.3
SF-001,SF-001-INV-01,Inverter 01,2026-07-02,2687.1
SF-001,SF-001-INV-01,Inverter 01,2026-07-03,2540.3
SF-001,SF-001-INV-01,Inverter 01,2026-07-04,2596.3
SF-001,SF-001-INV-01,Inverter 01,2026-07-05,2574.4
SF-001,SF-001-INV-01,Inverter 01,2026-07-06,2787.0
SF-001,SF-001-INV-01,Inverter 01,2026-07-07,2591.9
SF-001,SF-001-INV-01,Inverter 01,2026-07-08,2731.1
SF-001,SF-001-INV-01,Inverter 01,2026-07-09,2492.0
SF-001,SF-001-INV-01,Inverter 01,2026-07-10,2750.8
SF-001,SF-001-INV-01,Inverter 01,2026-07-11,2627.8
SF-001,SF-001-INV-01,Inverter 01,2026-07-12,2587.2
SF-001,SF-001-INV-01,Inverter 01,2026-07-13,2551.4
SF-001,SF-001-INV-01,Inverter 01,2026-07-14,2708.4
SF-001,SF-001-INV-01,Inverter 01,2026-07-15,2830.2
SF-001,SF-001-INV-01,Inverter 01,2026-07-16,2637.4
SF-001,SF-001-INV-01,Inverter 01,2026-07-17,2783.4
SF-001,SF-001-INV-01,Inverter 01,2026-07-18,2660.3
SF-001,SF-001-INV-01,Inverter 01,2026-07-19,2764.3
SF-001,SF-001-INV-01,Inverter 01,2026-07-20,2801.6
SF-001,SF-001-INV-01,Inverter 01,2026-07-21,2850.5
SF-001,SF-001-INV-01,Inverter 01,2026-07-22,2532.3
SF-001,SF-001-INV-01,Inverter 01,2026-07-23,2718.4
SF-001,SF-001-INV-01,Inverter 01,2026-07-24,2647.2
SF-001,SF-001-INV-01,Inverter 01,2026-07-25,3021.2
SF-001,SF-001-INV-01,Inverter 01,2026-07-26,2795.2
SF-001,SF-001-INV-01,Inverter 01,2026-07-27,2858.4
SF-001,SF-001-INV-01,Inverter 01,2026-07-28,2845.7
SF-001,SF-001-INV-01,Inverter 01,2026-07-29,1912.2
SF-001,SF-001-INV-01,Inverter 01,2026-07-30,2918.9
SF-001,SF-001-INV-01,Inverter 01,2026-07-31,2582.5
SF-001,SF-001-INV-02,Inverter 02,2026-07-01,2386.7
SF-001,SF-001-INV-02,Inverter 02,2026-07-02,2618.7
SF-001,SF-001-INV-02,Inverter 02,2026-07-03,2468.0
SF-001,SF-001-INV-02,Inverter 02,2026-07-04,2526.4
SF-001,SF-001-INV-02,Inverter 02,2026-07-05,2504.2
SF-001,SF-001-INV-02,Inverter 02,2026-07-06,2730.5
SF-001,SF-001-INV-02,Inverter 02,2026-07-07,2531.8
SF-001,SF-001-INV-02,Inverter 02,2026-07-08,2655.1
SF-001,SF-001-INV-02,Inverter 02,2026-07-09,2410.9
SF-001,SF-001-INV-02,Inverter 02,2026-07-10,2661.7
SF-001,SF-001-INV-02,Inverter 02,2026-07-11,2539.5
SF-001,SF-001-INV-02,Inverter 02,2026-07-12,2509.6
SF-001,SF-001-INV-02,Inverter 02,2026-07-13,2502.7
SF-001,SF-001-INV-02,Inverter 02,2026-07-14,2627.0
SF-001,SF-001-INV-02,Inverter 02,2026-07-15,2740.0
SF-001,SF-001-INV-02,Inverter 02,2026-07-16,2561.7
SF-001,SF-001-INV-02,Inverter 02,2026-07-17,2717.1
SF-001,SF-001-INV-02,Inverter 02,2026-07-18,2598.4
SF-001,SF-001-INV-02,Inverter 02,2026-07-19,2659.9
SF-001,SF-001-INV-02,Inverter 02,2026-07-20,2734.3
SF-001,SF-001-INV-02,Inverter 02,2026-07-21,2778.9
SF-001,SF-001-INV-02,Inverter 02,2026-07-22,2465.1
SF-001,SF-001-INV-02,Inverter 02,2026-07-23,2639.7
